Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Unnamed: 9,City,Country
BharatPe,2018.0,Delhi,Fintech,Digital payments platform,Ashneer Grover,Coatue Management,100000000 ,Seed,,Delhi,India
Kisan Network,2015.0,Gurugram,AgriTech,Integrated supply chain for farmers to sell their produce directly to buyers,"Aditya Agarwalla, Sanjay Agarwalla",Atsushi Taira,3000000 ,Seed,,Gurugram,India
Vogo,2016.0,Bangaluru,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,35000000 ,Series C,,Bangaluru,India
Yolo,2019.0,Gurugram,Transport,Intercity transportation startup,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,600000 ,Seed,,Gurugram,India
Unotech,2011.0,Mumbai,SaaS,It develops fully-customisable open source software,Vikash Jha,Manish Choksi,2000000 ,Seed,,Mumbai,India
Zetwerk,2018.0,Bangaluru,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",InnoVen capital,2200000 ,Seed,,Bangaluru,India
CureSkin,2017.0,Bangaluru,Healthtech,Provides a treatment solution for skincare and hair fall issues with an artificial intelligence-enabled solution,"Guna Kakulapati, Rama Rajanna, Charu Sharma",SenseAI Ventures,500000 ,Seed,,Bangaluru,India
WizKlub,2018.0,Bangaluru,Edtech,Helps students solve problems at complex level,Amit Bansal,Incubate Fund India,982530 ,Seed,,Bangaluru,India
Interviewbit,2014.0,Pune,Edtech,Platform that provides coding and interview preparation course by industry professionals from tech companies,Abhimanyu Saxena,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (EBD)",200000000 ,Series A,,Pune,India
MoneyTap,2016.0,Bangaluru,Fintech,App-based consumer credit line that gives customers access to credit on tap.,"Bala Parthasarathy, Anuj Kacker, Kunal Varma","Aquiline Technology Growth (ATG), RTP Global, Sequoia India",70185200 ,Series B,,Bangaluru,India
Uniplatform Tech,2015.0,Delhi,SaaS,Runs real estate SaaS platform MultiplyMyLeads.com.,"Rohit Manghnani, Amit K Jaiswal, Iccha Manghnani","Frontline Strategy Finds, SucSEED Venture Partners LLP",,Seed,,Delhi,India
INdwealth,2015.0,Gurugram,Fintech,An Artificial Intelligence and Machine learning based wealth management platform,Ashish Kashyap,"Tiger Global, Steadview Capital, DF International Private Partners",12000000 ,Series C,,Gurugram,India
Bizongo,2015.0,Mumbai,Marketplace,A B2B marketplace for packaging materials,"Sachin Agarwal, Aniket Deb, Ankit Tomar",Schroder Adveq,30000000 ,Series C,,Mumbai,India
AppsFlyer,2011.0,Bangaluru,SaaS,Mobile marketing analytics and attribution platform,"Oren Kaniel, Reshef Mann",General Atlantic,210000000 ,Series D,,Bangaluru,India
Digit Insurance,2015.0,Bangaluru,Insurtech,General Insurance Company,Kamesh Goyal,"A91 Partners, Faering Capital, TVS Capital",84000000 ,Seed,,Bangaluru,India
Livspace,2014.0,Bangaluru,Interior Design,It offers end-to-end home design experience for homeowners and home designers,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Tahoe Investment Group, Mercer Investment",60000000 ,Series D,,Bangaluru,India
GetVantage,2015.0,Mumbai,Fintech,Revenue based finance provider,Bhavik Vasa,"Samyakth Capital, Venture Catalysts",,Seed,,Mumbai,India
Konfinity,2018.0,Noida,Edtech,Provides online coding courses,"Navratn Singh, Kamal Pandey",Angel investors,,Seed,,Noida,India
Pine Labs,2015.0,Noida,Fintech,Retail payment and hardware company,"Lokvir Kapoor, Rajul Garg, Tarun Upaday",Mastercard,,Seed,,Noida,India
Instoried,2015.0,Delhi,SaaS,Augmented writing platform which improves customer interest and engagement.,Sharmin Ali,"SOSV, Chinaccelerator",,Seed,,Delhi,India
Nupay,2015.0,Haryana,Neo-banking,"Integrated platform for Receivables and Payables automation, Electronic Invoicing, Reconciliations and Bank payouts","Neeraj Singh, Alok Arora",Venture Catalysts,,Seed,,Haryana,India
LogiNext,2015.0,Bangaluru,Transport Automation,"It helps logistics companies to improve internal operations, optimise delivery networks and provide customer service","Dhruvil Sanghvi, Manisha Raisinghani","Tiger Global, Steadview Capital",39000000 ,Series B,,Bangaluru,India
Samosa Singh,2016.0,Bangaluru,Food,Offers hygienic Indian Snacks,"Shikhar Veer Singh, Nidhi Singh",She Capital,2700000 ,Series A,,Bangaluru,India
Crysta,2018.0,Delhi,Healthtech,Offers diagnostic and screening services with regular counselling and clinical data management,Undisclosed,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli",1403400 ,Pre Series A,,Delhi,India
Eupheus Learning,2017.0,New Delhi,Edtech,"Provides technology-led, subscription-based learning solutions to schools","Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Yuj Ventures,4300000 ,Series A,,New Delhi,India
Bounce,2014.0,Bangaluru,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",105000000 ,Series D,,Bangaluru,India
Park+,2015.0,Bangaluru,Techonology,It is engaged in bringing digitization in parking,Amit Lakhotia,"Sequoia Capital, Matrix Partners India",11000000 ,Seed,,Bangaluru,India
Goodmylk,2017.0,Bangaluru,Dairy,Provides Vegan dairy products,Abhay Rangan,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest",400000 ,Seed,,Bangaluru,India
SmartKarrot,2019.0,Bangaluru,SaaS,It tracks customers’ real-time digital behaviour,"Prithwi Dasgupta, Arnab Chatterjee",Angel investors,1000000 ,Seed,,Bangaluru,India
Skylo,2017.0,Bangaluru,IoT,Provides affordable and ever present network that connects machines or sensors,Trivedi,SoftBank Group,103000000 ,Series B,,Bangaluru,India
Tea Trunk,2013.0,Goa,Beverage,Global premium tea brand,"Snigdha Manchanda, Vikas Kumar, Aishwarya Malhi",Angel investors,220000 ,Seed,,Goa,India
Zoomcar,2013.0,Bangaluru,Transport & Rentals,A car rental service platform,"Greg Moran, David Back",Sony Innovation Fund,30000000 ,Series D,,Bangaluru,India
Mera Cashier,2019.0,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,"Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,","Amit Singal, Manish Aggarwal",250000 ,Seed,,Noida,India
Samya AI,2019.0,Bangaluru,SaaS,Revenue growth AI startup in the consumer packed goods (CPG) space,"Shailendra Singh, Deepinder Dhingra, Pavan Palety",Sequoia India,6000000 ,Seed,,Bangaluru,India
Kristal AI,2016.0,Bangaluru,AI,Provides Algorithm-based financial services,"Asheesh Chanda, Vineeth Narasimhan",Chiratae Ventures,6000000 ,Series A,,Bangaluru,India
Invento Robotics,2015.0,Bangaluru,AI & Robotics,Known for Mitra Series of Robots,"Balaji Viswanathan, Be Limitless Inc., Zingfin.com, NalandaU","Windrose Capital, ITI Growth Opportunities Venture Fund",281300 ,Seed,,Bangaluru,India
Zimyo,2018.0,Gurugram,HR,Automates everyday HR processes with integrated solutions,"Kumar Mayank, Ajay Kadyan",Yatra Angel Network (YAN),,Seed,,Gurugram,India
Sabse Sasta Dukaan,2016.0,Kolkata,Pharmaceutical,Online pharmacy dealing in medicines,"Anish Agarwal, Anant Jain",Angel investors,,Seed,,Kolkata,India
Fitphilia,2015.0,Mumbai,Healthtech,Provides IoT-enabled treadmill,Nirav Patil,Angel investors,,Seed,,Mumbai,India
Medicus,2015.0,Mumbai,Healthtech,AI-based platform that explains and interprets blood tests and medical reports,"Bhavesh Shah, Manav Shah",Angel investors,12700 ,Seed,,Mumbai,India
Monech,2015.0,Mumbai,Fintech,Automated platform which will help users to take their financial decisions,Undisclosed,Angel investors,12700 ,Seed,,Mumbai,India
Teach Us,2015.0,Bangaluru,Edtech,Educational portal which enables the students to access information related to education at one common platform,Undisclosed,Angel investors,12700 ,Seed,,Bangaluru,India
Dealberg,2015.0,Bangaluru,B2B marketplace,Deals in office supplies,Abhishek Emmanuel,Undisclosed,,Seed,,Bangaluru,India
Phenom People,2010.0,Bangaluru,HR,It redefines the means to search for a job and recruit top talent,Mahe Bayireddi,WestBridge Capital,30000000 ,Series C,,Bangaluru,India
Extra Edge,2015.0,Pune,Edtech,Admission Marketing Automation software for the education industry,Kavita Dhillon,"Sprout Venture Partners, Indian Angel Network",700000 ,Pre Series A,,Pune,India
Capital Quotient,2016.0,Bangaluru,Fintech,Investment advisor,Sousthav Chakrabarty,Undisclosed,600000 ,Seed,,Bangaluru,India
Karfa,2015.0,Delhi,Ecommerce,It sells products crafted by artisans,Kartikeya Goel,Undisclosed,25000 ,Seed,,Delhi,India
Gamerji,2019.0,Bangaluru,Gaming,Esports tournament platform,"Soham Thacker, Varun Gajjar",La Gajjar Group,400000 ,Seed,,Bangaluru,India
Bounce,2014.0,Bangaluru,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",97500000 ,Series D,,Bangaluru,India
Zinier,2015.0,Bangaluru,Automation,Provides intelligent field service automation,Arka Dhar,ICONIQ Capital,90000000 ,Series C,,Bangaluru,India
ProEves,2016.0,Delhi,Preschool Daycare,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers","Divya Agarwal, Ketika Kapoor",1Crowd,507000 ,Seed,,Delhi,India
Toddle,2015.0,Bengaluru,Undisclosed,Collaboration and productivity platform for teachers across the world,"Deepanshu Arora, Parita Parekh",Matrix Partners India,,Seed,,Bengaluru,India
Aesthetic Nutrition,2018.0,Bangaluru,Food diet,Markets and sells chewable dietary supplements,Divij Bajaj,DSG Consumer Partners,,Pre Series A,,Bangaluru,India
Capital Float,2013.0,Bangaluru,Fintech,Digital lending,"Gaurav Hinduja, Sashank Rishyasringa","Sequoia Capital, Ribbit Capital, Amazon, Saif Partners",15000000 ,Seed,,Bangaluru,India
Ninjacart,2015.0,Bangaluru,B2B AgriTech,Online grocery delivery platform,"Thirukumaran Nagarajan, Sharath Loganathan, Sachin Jose, Kartheeswaran KK, Vasudevan Chinnathambi","Flipkart India, Singapore-based GEC3",10000000 ,Series C,,Bangaluru,India
TechnifyBiz,2017.0,Bangaluru,B2B AgriTech,Online marketplace for non-perishable food items,"Akash Sharma, Abhishek Agarwal","Omnivore, Insitor Impact Asia Fund",2000000 ,Seed,,Bangaluru,India
Wysh,2019.0,Hyderabad,E-connect,Celebrity engagement and wishing platform,"Mahesh Gogineni, Varun MS, Manan Maheshwari",Kalaari Capital,2000000 ,Series A,,Hyderabad,India
Keito,2016.0,Pune,AI,Enterprise productivity startup,Amal PS,Suma Soft Pvt Ltd,160000 ,Seed,,Pune,India
Klub,2019.0,Bangaluru,Fintech,Provides growth financing to high-affinity brands,"Anurakt Jain, Ishita Verma",Sequoia Surge,2000000 ,Pre-Seed,,Bangaluru,India
Aadhar,2017.0,Mumbai,Ecommerce,Ayurveda wellness and lifestyle consumer brand,Undisclosed,"Sprout Venture Partners, JITO Angel Network, LetsVenture",,Seed,,Mumbai,India
IncubateHub,2015.0,Bengaluru,Tech hub,Provides platform for Corporates to connect establish brand presence among innovation community,Rajiv Mukherjee,Venture Catalysts,,Seed,,Bengaluru,India
Rage Coffee,2015.0,Delhi,FMCG,Provides effective Instant Coffee Infused with Natural Brain Vitamins & Plant Based Cognitive Enhancers,Bharat Sethi,Refex Capital,,Seed,,Delhi,India
Skilancer,2015.0,Noida,Technology,Solar module cleaning system [MCS] providers,Neeraj Kumar,Venture Catalysts,,Seed,,Noida,India
Harappa Education,2015.0,New Delhi,Edtech,Provides online courses on foundational skills,Pramath Raj Sinha,James Murdoch-led Lupa Systems,,Seed,,New Delhi,India
Rheo,2015.0,Bangaluru,Entertainment,Online e-sports streaming and community platform,Gaurav Munjal,"Lightspeed Venture Partners, Sequoia Surge",2000000 ,Seed,,Bangaluru,India
Axio Biosolutions,2015.0,Bangaluru,Medtech,Medical device manufacturer,Leo Mavely,Omidyar Network India,5200000 ,Series B,,Bangaluru,India
Techbooze,2015.0,Bangaluru,Consultancy,"Business Development, Consulting and Funding facilitator for Startups Enterprise",Mr. Subhashis Kar,Space Capital,15000000 ,Series A,,Bangaluru,India
PayMart,2015.0,Chandigarh,Fintech,Provides cardless cash withdrawals through small merchants shops,Amit Narang,"IIM Ahmedabad’s incubator (CIIE.CO),Chandigarh Angels Network",,Seed,,Chandigarh,India
Testbook,2015.0,Bangaluru,Edtech,Helps students prepare online for competitive exams,"Praveen Agrawal, Yadvendar Champawat, Manoj Munna, Abhishek Sagar, Ashutosh Kumar, Narendra Agrawal",Iron Pillar,8400000 ,Series B,,Bangaluru,India
FabAlley,2012.0,Noida,Ecommerce,Online fashion store,"Tanvi Malik, Shivani Poddar.",Trifecta Capital,1100000 ,Seed,,Noida,India
HaikuJAM,2015.0,Bangaluru,Undisclosed,Creative writing mobile platform,Neer Sharma,"Lightbox. Social Capital, Dunce Capital",3400000 ,Seed,,Bangaluru,India
Mamaearth,2015.0,Bangaluru,Ecommerce,Online baby and mother care brand,"Ghazal Alagh, Varun Alagh",Sequoia India,18300000 ,Series A,,Bangaluru,India
Rentomojo,2014.0,Bangaluru,Rental,"Furniture, electronics, and appliance-centric consumer leasing platform",Geetansh Bamania,GMO Payment Gateway,2000000 ,Seed,,Bangaluru,India
Zomato,2015.0,Bangaluru,Foodtech,Online food delivery and restaurant discovery platform,Deepinder Goyal,Ant Financial,150000000 ,Seed,,Bangaluru,India
Byju,2011.0,Bangaluru,Edtech,Provides online learning classes,Byju Raveendran,Tiger Global,200000000 ,Seed,,Bangaluru,India
Generico,2015.0,Mumbai,Pharmacy,Generic medicine focussed retail chain,Siddharth Gadia,Alteria Capital,1400000 ,Seed,,Mumbai,India
HighRadius,2016.0,Hyderabad,SaaS,"An AI-based platform, to automate accounts receivables and treasury processes.",Sashi Narahari,ICONIQ Capital,125000000 ,Series B,,Hyderabad,India
Chai Kings,2015.0,Chennai,Beverage,It offers a range of tea in various flavour,"Jahabar Sadique, Balaji Sadagopan",The Chennai Angels (TCA),1000000 ,Seed,,Chennai,India
Rivigo,2014.0,Gurugram,Logistics,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies","Deepak Garg, Gazal Kalra",Trifecta Capital,3400000 ,Series F,,Gurugram,India
BuildPan,2019.0,Indore,SaaS,"It helps developers to test, integrate and deploy apps","Sonal Khandelwal, Vaibhav Tiwari","HNIs in India, Japan, and the US",,Seed,,Indore,India
Shiksha,2008.0,Bangaluru,Edtech,It makes college selection easy for students looking to pursue UG and PG courses in India and abroad,Kanav Sachdeva,Mumbai Angels Network,181000 ,Seed,,Bangaluru,India
Super Surfaces,2015.0,Hyderabad,Deisgning,A design solution based company,Kumar Varma,Vishnu Reddy,500000 ,Series A,,Hyderabad,India
Quicko,2015.0,Ahmedabad,Taxation,Online tax planning and filing platform,Vishvajit Sonagara,"Zerodha fintech fund, Rainmatter",280000 ,Seed,,Ahmedabad,India
Satin Creditcare,2015.0,Gurgaon,Fintech,A micro finance company,Undisclosed,Austrian Bank,15000000 ,Seed,,Gurgaon,India
XpressBees,2015.0,Bangaluru,Logistics,Provides end to end supply chain solutions,"Supam Maheshwari, Amitava Saha",Alibaba,10000000 ,Seed,,Bangaluru,India
FarmERP,2001.0,Pune,AgriTech,Smart agriculture management ERP software platform,"Santosh Shinde, Sanjay Borkar",TechnoGen,,Series A,,Pune,India
Wealth Bucket,2018.0,Bangaluru,Fintech,An online platform for mutual fund investments,"Himanshu Jain, Pulkit Jain","NorthStar, Vinod Khatumal",3000000 ,Seed,,Bangaluru,India
GoMechanic,2016.0,Delhi,Automobile Technology,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa","Chiratae Ventures, Sequoia Capital, Orios Venture Partners",14700000 ,Series B,,Delhi,India
Fashor,2017.0,Chennai,Fashion,Women’s fashion and apparel,"Vikram Kankaria, Priyanka Kankaria",Sprout venture partners,1000000 ,Pre Series A,,Chennai,India
Leverage Edu,2015.0,Delhi,Edtech,AI enabled marketplace that provides career guidance,Akshay Chaturvedi,"DSG Consumer Partners, Blume Ventures",1500000 ,Seed,,Delhi,India
EpiFi,2015.0,Bangaluru,Fintech,It offers customers with a single interface for all their financial and banking mandates,"Sujith Narayanan, Sumit Gwalani","Sequoia India, Ribbit Capital",13200000 ,Seed,,Bangaluru,India
Purplle,2012.0,Mumbai,Cosmetics,Online makeup and beauty products retailer,"Manish Taneja, Rahul Dash",Verlinvest,8000000 ,Seed,,Mumbai,India
Shuttl,2015.0,Delhi,Transport,App based bus aggregator serice,"Amit Singh, Deepanshu Malviya",SIG Global India Fund LLP.,8043000 ,Series C,,Delhi,India
Pando,2017.0,Chennai,Logitech,Networked logistics management software,"Jayakrishnan, Abhijeet Manohar",Chiratae Ventures,9000000 ,Series A,,Chennai,India
